mouse_number,bins,model,test_acc,train_acc,epochs,hidden_dim,layers,learning_rate,batch_size
759883607,5,LSTM,82.94,100,15,500,1,0.001,64
757216464,5,LSTM,83.7,100,15,750,1,0.001,64
757970808,5,LSTM,83.95,100,15,500,1,0.001,64
732592105,5,LSTM,85.13,100,15,250,1,0.001,64
763673393,5,LSTM,85.29,100,15,250,1,0.001,64
757970808,5,LSTM,85.38,100,15,750,1,0.001,64
732592105,5,LSTM,85.71,100,15,500,1,0.001,64
750332458,5,LSTM,85.97,100,15,500,1,0.001,64
758798717,5,LSTM,86.05,100,15,250,1,0.001,64
791319847,5,LSTM,86.64,100,15,250,1,0.001,64
756029989,5,LSTM,86.64,100,15,250,1,0.001,64
732592105,5,LSTM,86.97,100,15,750,1,0.001,64
750332458,5,LSTM,87.14,100,15,750,1,0.001,64
791319847,5,LSTM,87.65,100,15,500,1,0.001,64
756029989,5,LSTM,87.9,100,15,500,1,0.001,64
739448407,5,LSTM,88.32,100,15,250,1,0.001,64
756029989,5,LSTM,88.57,100,15,750,1,0.001,64
763673393,5,LSTM,88.74,100,15,500,1,0.001,64
758798717,5,LSTM,88.74,100,15,500,1,0.001,64
791319847,5,LSTM,88.82,100,15,750,1,0.001,64
739448407,5,LSTM,88.91,100,15,500,1,0.001,64
763673393,5,LSTM,88.99,100,15,750,1,0.001,64
799864342,5,LSTM,89.08,100,15,250,1,0.001,64
758798717,5,LSTM,89.08,100,15,750,1,0.001,64
755434585,5,LSTM,89.24,99.89,15,250,1,0.001,64
746083955,5,LSTM,89.58,100,15,250,1,0.001,64
798911424,5,LSTM,90,100,15,250,1,0.001,64
762120172,5,LSTM,90.08,100,15,250,1,0.001,64
762120172,5,LSTM,90.84,100,15,750,1,0.001,64
799864342,5,LSTM,91.01,100,15,500,1,0.001,64
739448407,5,LSTM,91.18,100,15,750,1,0.001,64
746083955,5,LSTM,91.26,100,15,500,1,0.001,64
762120172,5,LSTM,91.6,100,15,500,1,0.001,64
746083955,5,LSTM,91.68,100,15,750,1,0.001,64
799864342,5,LSTM,91.76,100,15,750,1,0.001,64
798911424,5,LSTM,92.18,100,15,500,1,0.001,64
760693773,5,LSTM,92.44,100,15,250,1,0.001,64
798911424,5,LSTM,93.03,100,15,750,1,0.001,64
760345702,5,LSTM,93.36,100,15,250,1,0.001,64
760693773,5,LSTM,93.53,100,15,500,1,0.001,64
760345702,5,LSTM,93.61,100,15,500,1,0.001,64
755434585,5,LSTM,93.87,100,15,500,1,0.001,64
715093703,5,LSTM,94.03,100,15,250,1,0.001,64
760345702,5,LSTM,94.12,100,15,750,1,0.001,64
760693773,5,LSTM,94.37,100,15,750,1,0.001,64
761418226,5,LSTM,94.96,100,15,250,1,0.001,64
755434585,5,LSTM,95.13,100,15,750,1,0.001,64
762602078,5,LSTM,96.13,100,15,250,1,0.001,64
761418226,5,LSTM,96.22,100,15,500,1,0.001,64
715093703,5,LSTM,96.81,100,15,500,1,0.001,64
715093703,5,LSTM,96.81,100,15,750,1,0.001,64
761418226,5,LSTM,96.89,100,15,750,1,0.001,64
762602078,5,LSTM,97.39,100,15,750,1,0.001,64
762602078,5,LSTM,97.73,100,15,500,1,0.001,64
754312389,5,LSTM,0.84,47.61,15,250,1,0.001,64
737581020,5,LSTM,50.93,100.0,15,250,1,0.001,64
797828357,5,LSTM,51.26,100.0,15,250,1,0.001,64
754312389,5,LSTM,1.01,91.7,15,500,1,0.001,64
737581020,5,LSTM,47.04,100.0,15,500,1,0.001,64
797828357,5,LSTM,52.77,100.0,15,500,1,0.001,64
754312389,5,LSTM,0.92,11.38,15,750,1,0.001,64
737581020,5,LSTM,48.48,89.19,15,750,1,0.001,64
797828357,5,LSTM,55.55,100.0,15,750,1,0.001,64
