mouse_number,bins,model,test_acc,train_acc,epochs,hidden_dim,layers,learning_rate,batch_size
754312389,5,LSTM,1.09,77.85,15,100,1,0.001,64
754829445,5,LSTM,55.97,100.0,15,100,1,0.001,64
755434585,5,LSTM,78.82,100.0,15,100,1,0.001,64
756029989,5,LSTM,78.74,100.0,15,100,1,0.001,64
757216464,5,LSTM,71.26,100.0,15,100,1,0.001,64
757970808,5,LSTM,70.34,100.0,15,100,1,0.001,64
758798717,5,LSTM,79.66,100.0,15,100,1,0.001,64
759883607,5,LSTM,71.09,100.0,15,100,1,0.001,64
760345702,5,LSTM,89.5,100.0,15,100,1,0.001,64
760693773,5,LSTM,86.72,100.0,15,100,1,0.001,64
761418226,5,LSTM,89.83,100.0,15,100,1,0.001,64
762120172,5,LSTM,83.61,100.0,15,100,1,0.001,64
762602078,5,LSTM,94.37,100.0,15,100,1,0.001,64
763673393,5,LSTM,80.34,100.0,15,100,1,0.001,64
773418906,5,LSTM,62.1,100.0,15,100,1,0.001,64
791319847,5,LSTM,78.32,100.0,15,100,1,0.001,64
797828357,5,LSTM,44.71,100.0,15,100,1,0.001,64
798911424,5,LSTM,83.45,100.0,15,100,1,0.001,64
799864342,5,LSTM,85.13,100.0,15,100,1,0.001,64
715093703,5,LSTM,97.48,100.0,15,1000,1,0.001,64
719161530,5,LSTM,85.8,100.0,15,1000,1,0.001,64
721123822,5,LSTM,82.35,99.98,15,1000,1,0.001,64
732592105,5,LSTM,86.89,100.0,15,1000,1,0.001,64
737581020,5,LSTM,46.79,99.55,15,1000,1,0.001,64
739448407,5,LSTM,92.02,100.0,15,1000,1,0.001,64
742951821,5,LSTM,70.34,100.0,15,1000,1,0.001,64
743475441,5,LSTM,78.15,100.0,15,1000,1,0.001,64
744228101,5,LSTM,67.14,99.87,15,1000,1,0.001,64
746083955,5,LSTM,91.85,100.0,15,1000,1,0.001,64
750332458,5,LSTM,86.81,100.0,15,1000,1,0.001,64
750749662,5,LSTM,76.72,100.0,15,1000,1,0.001,64
751348571,5,LSTM,69.16,100.0,15,1000,1,0.001,64
754312389,5,LSTM,1.18,94.07,15,1000,1,0.001,64
754829445,5,LSTM,72.61,100.0,15,1000,1,0.001,64
755434585,5,LSTM,94.87,100.0,15,1000,1,0.001,64
756029989,5,LSTM,88.74,100.0,15,1000,1,0.001,64
757216464,5,LSTM,83.45,100.0,15,1000,1,0.001,64
757970808,5,LSTM,86.22,100.0,15,1000,1,0.001,64
758798717,5,LSTM,89.41,100.0,15,1000,1,0.001,64
759883607,5,LSTM,83.03,100.0,15,1000,1,0.001,64
760345702,5,LSTM,94.29,100.0,15,1000,1,0.001,64
760693773,5,LSTM,94.37,100.0,15,1000,1,0.001,64
761418226,5,LSTM,97.39,100.0,15,1000,1,0.001,64
762120172,5,LSTM,91.43,100.0,15,1000,1,0.001,64
762602078,5,LSTM,97.31,100.0,15,1000,1,0.001,64
763673393,5,LSTM,89.92,100.0,15,1000,1,0.001,64
773418906,5,LSTM,78.07,100.0,15,1000,1,0.001,64
791319847,5,LSTM,89.58,100.0,15,1000,1,0.001,64
797828357,5,LSTM,54.37,100.0,15,1000,1,0.001,64
798911424,5,LSTM,93.87,100.0,15,1000,1,0.001,64
799864342,5,LSTM,91.85,100.0,15,1000,1,0.001,64
